ts,src_ip,dest_ip,signature,category,app_proto,severity,community_id
2021-09-24T16:53:52.552822Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:5+Uvds3mpGnOjG6BVOLhvC42J2I=
2021-09-24T16:53:57.988066Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:ifWQhEedhZRTUN8jddtyJ7EBWWw=
2021-09-24T16:53:58.545264Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:BCPadm66PHECAiKcuIeDXfGlkoI=
2021-09-24T16:54:01.032381Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:WfRTU+Jb3EW929sO5oBnTxKYBvo=
2021-09-24T16:54:13.398054Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:iJILZUvbD8ly0d5OIzPqFU2WxgA=
2021-09-24T16:54:31.314421Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:LXQVpVew++B+iKxopJSn2kUBZzI=
2021-09-24T16:54:39.101121Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:McqAF1nhO1izQ8znHI8YUzmITHo=
2021-09-24T16:54:58.382821Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:yDwiq9wqKgUUBP7DE5C0UE//wnM=
2021-09-24T16:55:03.473172Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:7HQ19cSswE4yhuz7nqZfmefTx44=
2021-09-24T16:55:03.473277Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:AJEx+Y+Pu/3A6EsJVRxumEKxuMU=
